,stationid,compname,time,MetaInfo_Owner,MetaInfo_Name,MetaInfo_Location,meantype,subzahl,value,valueclass,unit,gml$Point_srsName,gml$Point_gml$coord_X,gml$Point_gml$coord_Z,gml$Point_gml$coord_Y
69,04:S432,Schwefeldioxid,1659911400,Amt der Oberösterreichischen Landesregierung,Lenzing Hauptstraße,Park Hauptstraße/Stefan Fadinger-Straße,HMW,1,12.0,1,µg/m³,EPSG:31287,13.60892,485.0,47.97386
70,05:5019,Ozon,1659911400,Amt der Salzburger Landesregierung,Zederhaus Lamm,Zederhaus Lamm,HMW,1,6.0,NOCLASS,µg/m³,EPSG:31287,13.54318,1140.0,47.13378
71,06:118,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,"Judenburg, Sportplatz","Stadionstraße, südlich des Sportplatzes",HMW,1,13.0,NOCLASS,µg/m³,EPSG:31287,14.676666666666666,715.0,47.17833333333333
72,03:0101,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,Amstetten,"Anzengruberstraße, Parkplatz vor der Schule",HMW,1,20.0,NOCLASS,µg/m³,EPSG:31287,14.8788,270.0,48.1199
73,04:S125,Ozon,1659911400,Amt der Oberösterreichischen Landesregierung,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),HMW,1,21.0,NOCLASS,µg/m³,EPSG:31287,13.632222222222223,460.0,47.71611111111111
74,03:0065,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,"Purkersdorf, Tullnerbachstraße","Neukurkersdorf, Gemeindebauhof, Tullnerbachstraße (B44)",HMW,1,22.0,NOCLASS,µg/m³,EPSG:31287,16.1434,260.0,48.1955
75,02:KA71,Ozon,1659911400,Amt der Kärntner Landesregierung,Klagenfurt Sterneckstraße,Sterneckstraße (gegenüber Nr. 17),HMW,1,23.0,NOCLASS,µg/m³,EPSG:31287,14.299144444444444,445.0,46.62661666666667
76,06:143,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,Leoben Zentrum,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",HMW,1,24.0,NOCLASS,µg/m³,EPSG:31287,15.0889,543.0,47.3823
77,02:KA41,Ozon,1659911400,Amt der Kärntner Landesregierung,Klagenfurt Kreuzbergl,Sternwarte Kreuzbergl,HMW,1,25.0,NOCLASS,µg/m³,EPSG:31287,14.28931,550.0,46.62936
78,02:SP10,Ozon,1659911400,Amt der Kärntner Landesregierung,Obervellach Schulzentrum,"Schulzentrum Obervellach-West 27, Dürnvellach",HMW,1,26.0,NOCLASS,µg/m³,EPSG:31287,13.194533,686.0,46.935
79,05:4057,Ozon,1659911400,Amt der Salzburger Landesregierung,"St. Johann im Pongau, Bezirkshauptmannschaft","Bezirkshauptmannschaft, Hauptstraße 1",HMW,1,26.0,NOCLASS,µg/m³,EPSG:31287,13.205556,620.0,47.351387
80,04:S409,Ozon,1659911400,Amt der Oberösterreichischen Landesregierung,Steyr Münichholz,"Siedlung Münichholz, Holzstrasse, Karl Punzer-Straße 1",HMW,1,28.0,NOCLASS,µg/m³,EPSG:31287,14.442777777777776,305.0,48.04944444444444
81,03:0603,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,"Himberg, Alter Markt",Am Alten Markt - Institutgasse,HMW,1,29.0,NOCLASS,µg/m³,EPSG:31287,16.4311,172.0,48.0857
82,03:1204,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,Pöchlarn,"Brunnenschutzgebiet, Donauuferpromenade",HMW,1,29.0,NOCLASS,µg/m³,EPSG:31287,15.205,216.0,48.21275
83,02:SP18,Ozon,1659911400,Amt der Kärntner Landesregierung,Spittal a. d. Drau Oktoberstraße,"10. Oktober-Strasse 9, Schulzentrum",HMW,1,30.0,NOCLASS,µg/m³,EPSG:31287,13.49388888888888,560.0,46.8013888888888
84,03:1102,Ozon,1659906000,Amt der Niederösterreichischen Landesregierung,"Annaberg, Joachimsberg",Joachimsberg Lassingrotte,HMW,1,30.0,NOCLASS,µg/m³,EPSG:31287,15.32085,880.0,47.86144
85,05:5032,Ozon,1659911400,Amt der Salzburger Landesregierung,Tamsweg Untere Postgasse,Parkplatz Untere Postgasse 2,HMW,1,30.0,NOCLASS,µg/m³,EPSG:31287,13.80804,1025.0,47.12566
86,08:2801,Ozon,1659902400,Umweltinstitut des Landes Vorarlberg,Wald am Arlberg S16,"Außerwald, Arlbergstraße",HMW,1,30.0,NOCLASS,µg/m³,EPSG:31287,10.034324,940.0,47.128863
87,06:157,Ozon,1659909600,Amt der Steiermärkischen Landesregierung,Grundlsee Tressensattel,Sattel,HMW,1,31.0,NOCLASS,µg/m³,EPSG:31287,13.796667,980.0,47.63056
88,06:107,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,Voitsberg Mühlgasse,"Mühlgasse, Ecke Franz Josef-Straße",HMW,1,33.0,NOCLASS,µg/m³,EPSG:31287,15.15277777777778,390.0,47.04472222222222
89,03:0104,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,"St. Valentin A1, Buchenstraße","Attenhofen, Buchenstraße/Kaufpark",HMW,1,34.0,NOCLASS,µg/m³,EPSG:31287,14.51954,265.0,48.19234
90,06:194,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,Mürzzuschlag Roseggerpark,"Roseggerpark, Waldgasse/Roseggergasse",HMW,1,37.0,NOCLASS,µg/m³,EPSG:31287,15.673055555555557,679.0,47.60472222222222
91,02:M121,Ozon,1659911400,Amt der Kärntner Landesregierung,Arnoldstein Gailitz Waldsiedlungsstraße,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",HMW,1,40.0,NOCLASS,µg/m³,EPSG:31287,13.70345,574.0,46.5584
92,07:2705,Ozon,1659911400,Amt der Tiroler Landesregierung,Höfen Lärchbichl,Höfen Lärchbichlweg,HMW,1,40.0,NOCLASS,µg/m³,EPSG:31287,10.682283,877.0,47.469837
93,03:2604,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,Kematen an der Ybbs,Gimpersdorf,HMW,1,41.0,NOCLASS,µg/m³,EPSG:31287,14.77227777777778,330.0,48.04511111111111
94,03:2401,Ozon,1659907800,Amt der Niederösterreichischen Landesregierung,Wiener Neustadt,Neuklosterwiese Sportplatz,HMW,1,42.0,NOCLASS,µg/m³,EPSG:31287,16.255,265.0,47.81416667
95,05:2055,Ozon,1659911400,Amt der Salzburger Landesregierung,St. Koloman Kleinhorn,"Kleinhorn, Taugl 94, Familie Kurz",HMW,1,42.0,NOCLASS,µg/m³,EPSG:31287,13.232778,1005.0,47.6502778
96,06:177,Ozon,1659911400,Amt der Steiermärkischen Landesregierung,Liezen Pyhrnbach,Alte Gasse 12,HMW,1,42.0,NOCLASS,µg/m³,EPSG:31287,14.244676,649.0,47.565439
97,10:ZOE2,Ozon,1659911400,Umweltbundesamt,Zöbelboden im Reichraminger Hintergebirge - Wildwiese,"Zöbelboden, Wildwiese",HMW,1,42.0,NOCLASS,µg/m³,EPSG:31287,14.44095,899.0,47.83828
98,02:WO15,Ozon,1659909600,Amt der Kärntner Landesregierung,Wolfsberg Hauptschule,"Hauptschule, Klagenfurter Str. (B70), Hans Schreiber-Str. 1",HMW,1,43.0,NOCLASS,µg/m³,EPSG:31287,14.84346,460.0,46.834975
99,07:2106,Ozon,1659911400,Amt der Tiroler Landesregierung,Innsbruck Reichenau - Andechsstraße,Andechstrasse 21,HMW,1,43.0,NOCLASS,µg/m³,EPSG:31287,11.4169445,570.0,47.27129
100,07:2530,Ozon,1659911400,Amt der Tiroler Landesregierung,Wörgl Stelzhamerstraße,Josef Stelzhamer-Straße / Joseph Haydn-Straße 4,HMW,1,43.0,NOCLASS,µg/m³,EPSG:31287,12.066633,508.0,47.4885583
