,stationid,compname,time,gml$Point_gml$coord_X,gml$Point_gml$coord_Y,gml$Point_gml$coord_Z,gml$Point_srsName,subzahl,meantype,value,unit,valueclass,MetaInfo_Name,MetaInfo_Location,MetaInfo_Owner
85,06:143,Ozon,1659726000,15.0889,47.3823,543.0,EPSG:31287,1,HMW,75.0,µg/m³,NOCLASS,Leoben Zentrum,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",Amt der Steiermärkischen Landesregierung
86,02:M121,Ozon,1659724200,13.70345,46.5584,574.0,EPSG:31287,1,HMW,77.0,µg/m³,NOCLASS,Arnoldstein Gailitz Waldsiedlungsstraße,"Waldsiedlungsstraße 5, gegenüber Föhrenweg 10",Amt der Kärntner Landesregierung
87,04:S125,Ozon,1659726000,13.632222222222223,47.71611111111111,460.0,EPSG:31287,1,HMW,77.0,µg/m³,NOCLASS,"Bad Ischl, Rettenbachwaldstraße",Rettenbachwaldstraße 5 (Holzplatz der Gemeinde),Amt der Oberösterreichischen Landesregierung
88,06:178,Ozon,1659726000,15.628392,47.215703,459.0,EPSG:31287,1,HMW,78.0,µg/m³,NOCLASS,Weiz Bahnhofstraße,Bahnhofstraße 7,Amt der Steiermärkischen Landesregierung
89,01:0012,Ozon,1659686400,,,,EPSG:31287,1,HMW,79.0,µg/m³,NOCLASS,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),,Amt der Burgenländischen Landesregierung
90,07:2547,Ozon,1659726000,12.1692472,47.5805278,526.0,EPSG:31287,1,HMW,80.0,µg/m³,NOCLASS,Kufstein Festung,Festung,Amt der Tiroler Landesregierung
91,06:195,Ozon,1659726000,15.212777777777776,46.81388888888888,365.0,EPSG:31287,1,HMW,81.0,µg/m³,NOCLASS,Deutschlandsberg Rathausgasse,"Rathausgasse 3, Arbeiterkammer",Amt der Steiermärkischen Landesregierung
92,02:KA71,Ozon,1659724200,14.299144444444444,46.62661666666667,445.0,EPSG:31287,1,HMW,82.0,µg/m³,NOCLASS,Klagenfurt Sterneckstraße,Sterneckstraße (gegenüber Nr. 17),Amt der Kärntner Landesregierung
93,03:0065,Ozon,1659726000,16.1434,48.1955,260.0,EPSG:31287,1,HMW,82.0,µg/m³,NOCLASS,"Purkersdorf, Tullnerbachstraße","Neukurkersdorf, Gemeindebauhof, Tullnerbachstraße (B44)",Amt der Niederösterreichischen Landesregierung
94,02:M805,Ozon,1659726000,14.329763,46.824822,965.0,EPSG:31287,1,HMW,83.0,µg/m³,NOCLASS,Kraigerberg,Eggen,Amt der Kärntner Landesregierung
95,06:198,Ozon,1659726000,16.07905,47.04735,276.0,EPSG:31287,1,HMW,83.0,µg/m³,NOCLASS,Fürstenfeld Ungartorweg,Hauptschule Schillerplatz 2,Amt der Steiermärkischen Landesregierung
96,02:KA41,Ozon,1659724200,14.28931,46.62936,550.0,EPSG:31287,1,HMW,87.0,µg/m³,NOCLASS,Klagenfurt Kreuzbergl,Sternwarte Kreuzbergl,Amt der Kärntner Landesregierung
97,06:177,Ozon,1659726000,14.244676,47.565439,649.0,EPSG:31287,1,HMW,87.0,µg/m³,NOCLASS,Liezen Pyhrnbach,Alte Gasse 12,Amt der Steiermärkischen Landesregierung
98,09:STEF,Ozon,1659726000,16.3732536111111,48.20815,172.0,EPSG:31287,1,HMW,87.0,µg/m³,NOCLASS,Stephansplatz,"Stephansdom, Kerzenkammer östlich des Südturmes, 1. Stock",Gemeinde Wien - MA22 Umweltschutz
99,07:2710,Ozon,1659726000,10.7441167,47.4475972,985.0,EPSG:31287,1,HMW,88.0,µg/m³,NOCLASS,Heiterwang Ort L355,Ennet der Ach,Amt der Tiroler Landesregierung
100,05:6072,Ozon,1659726000,12.795124,47.32664,775.0,EPSG:31287,1,HMW,89.0,µg/m³,NOCLASS,Zell am See Freizeitzentrum/Eishalle,"Freizeitzentrum, Steinergasse",Amt der Salzburger Landesregierung
101,06:194,Ozon,1659726000,15.673055555555557,47.60472222222222,679.0,EPSG:31287,1,HMW,89.0,µg/m³,NOCLASS,Mürzzuschlag Roseggerpark,"Roseggerpark, Waldgasse/Roseggergasse",Amt der Steiermärkischen Landesregierung
102,07:2538,Ozon,1659726000,11.90995,47.458717,602.0,EPSG:31287,1,HMW,89.0,µg/m³,NOCLASS,Kramsach Angerberg,"Voldöp, Angerberg",Amt der Tiroler Landesregierung
103,07:2705,Ozon,1659726000,10.682283,47.469837,877.0,EPSG:31287,1,HMW,91.0,µg/m³,NOCLASS,Höfen Lärchbichl,Höfen Lärchbichlweg,Amt der Tiroler Landesregierung
104,06:170,Ozon,1659726000,15.43308,47.04172,345.0,EPSG:31287,1,HMW,93.0,µg/m³,NOCLASS,Graz Süd Tiergartenweg,"Tiergartenweg 10, Ecke Herrgotwiesgasse 190 (B67: 250m)",Amt der Steiermärkischen Landesregierung
105,06:179,Ozon,1659726000,15.971852,47.28286,349.0,EPSG:31287,1,HMW,93.0,µg/m³,NOCLASS,Hartberg Zentrum,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",Amt der Steiermärkischen Landesregierung
106,08:0706,Ozon,1659726000,9.653713,47.410164,410.0,EPSG:31287,1,HMW,95.0,µg/m³,NOCLASS,Lustenau Wiesenrain,Wiesenrainstraße 26; 50m vom Zollamt Philipp Krapf-Str.,Umweltinstitut des Landes Vorarlberg
107,01:0004,Ozon,1659726000,16.32875,47.77907,254.0,EPSG:31287,1,HMW,98.0,µg/m³,NOCLASS,Bad Sauerbrunn,Freiwillige Feuerwehr,Amt der Burgenländischen Landesregierung
108,01:0001,Ozon,1659726000,16.52617,47.8401138,165.0,EPSG:31287,1,HMW,99.0,µg/m³,NOCLASS,Eisenstadt Laschoberstraße,"Laschoberstraße, östlich Kreisverkehr Ruster Straße",Amt der Burgenländischen Landesregierung
109,08:2708,Ozon,1659726000,9.822944,47.156483,580.0,EPSG:31287,1,HMW,99.0,µg/m³,NOCLASS,Bludenz Herrengasse,Herrengasse 10 (L190: 110m),Umweltinstitut des Landes Vorarlberg
110,09:ZA,Ozon,1659726000,16.357079,48.248993,210.0,EPSG:31287,1,HMW,99.0,µg/m³,NOCLASS,Hohe Warte,"Hohe Warte 38, Zentralanstalt für Meteorologie u. Geodynamik",Gemeinde Wien - MA22 Umweltschutz
111,07:2912,Ozon,1659726000,12.766025,46.8191111,681.0,EPSG:31287,1,HMW,103.0,µg/m³,NOCLASS,"Lienz Tristacher-See-Straße, Tiefbrunnen ","Tristacher-See-Straße, Tiefbrunnen",Amt der Tiroler Landesregierung
112,10:ILL1,Ozon,1659726000,16.76639,47.77028,117.0,EPSG:31287,1,HMW,104.0,µg/m³,NOCLASS,Illmitz am Neusiedler See,Biologische Station Illmitz,Umweltbundesamt
113,05:4057,Ozon,1659726000,13.205556,47.351387,620.0,EPSG:31287,1,HMW,105.0,µg/m³,NOCLASS,"St. Johann im Pongau, Bezirkshauptmannschaft","Bezirkshauptmannschaft, Hauptstraße 1",Amt der Salzburger Landesregierung
114,05:2100,Ozon,1659726000,13.106,47.667,650.0,EPSG:31287,1,HMW,106.0,µg/m³,NOCLASS,Hallein Winterstall,Winterstallstraße,Amt der Salzburger Landesregierung
