stationid,component,time,unit,meantype,value,meta_name,meta_owner,meta_location,x_coord,y_coord,z_coord
04:S406,Ozon,1661263200,µg/m³,HMW,44.0,Wels Linzerstraße,Amt der Oberösterreichischen Landesregierung,"Linzerstr. 85 (Wind auf Berufsschule, 25m), 230 m v. B137",14.0366,48.1649,316.0
06:179,Ozon,1661263200,µg/m³,HMW,44.0,Hartberg Zentrum,Amt der Steiermärkischen Landesregierung,"F. Schmidt G., Sparkassenplatz, Parkplatz hinter Bahnhofstr.",15.971852,47.28286,349.0
03:0104,Ozon,1661265000,µg/m³,HMW,46.0,"St. Valentin A1, Buchenstraße",Amt der Niederösterreichischen Landesregierung,"Attenhofen, Buchenstraße/Kaufpark",14.51954,48.19234,265.0
03:0403,Ozon,1661265000,µg/m³,HMW,48.0,Wolkersdorf,Amt der Niederösterreichischen Landesregierung,Hochbehälter Breitenkreuz,16.522,48.3929,260.0
03:1204,Ozon,1661265000,µg/m³,HMW,49.0,Pöchlarn,Amt der Niederösterreichischen Landesregierung,"Brunnenschutzgebiet, Donauuferpromenade",15.205,48.21275,216.0
03:1701,Ozon,1661265000,µg/m³,HMW,49.0,Dunkelsteinerwald - Unterbergern,Amt der Niederösterreichischen Landesregierung,Unterbergern Bäckerberg,15.54583333,48.370278,320.0
06:143,Ozon,1661265000,µg/m³,HMW,52.0,Leoben Zentrum,Amt der Steiermärkischen Landesregierung,"Roseggerstraße, hinter Stadtkai, Altersheim, Josefinum",15.0889,47.3823,543.0
03:1901,Ozon,1661265000,µg/m³,HMW,53.0,Tulln Leopoldgasse,Amt der Niederösterreichischen Landesregierung,"Leopoldgasse 17, am Friedhof bei Grottenthalgasse",16.0625,48.329445,178.0
09:JAEG,Ozon,1661265000,µg/m³,HMW,53.0,Hermannskogel,Gemeinde Wien - MA22 Umweltschutz,"Hermannskogel, Jägerwiese",16.2972,48.2702,488.0
01:0012,Ozon,1661245200,µg/m³,HMW,54.0,Illmitz im Burgenländischen Messnetz (könnten UBA-Daten drauf sein),Amt der Burgenländischen Landesregierung,,,,
03:0101,Ozon,1661265000,µg/m³,HMW,54.0,Amstetten,Amt der Niederösterreichischen Landesregierung,"Anzengruberstraße, Parkplatz vor der Schule",14.8788,48.1199,270.0
03:0301,Ozon,1661265000,µg/m³,HMW,54.0,Hainburg Krankenhaus,Amt der Niederösterreichischen Landesregierung,"Parkplatz Bezirkskrankenhaus, Florianistraße",16.95787,48.1442,180.0
03:0103,Ozon,1661263200,µg/m³,HMW,55.0,Kollmitzberg,Amt der Niederösterreichischen Landesregierung,"Kollmitzberg, neben GH. Alpenblick",14.86505,48.179279,465.0
06:107,Ozon,1661265000,µg/m³,HMW,55.0,Voitsberg Mühlgasse,Amt der Steiermärkischen Landesregierung,"Mühlgasse, Ecke Franz Josef-Straße",15.15277777777778,47.04472222222222,390.0
03:0065,Ozon,1661265000,µg/m³,HMW,56.0,"Purkersdorf, Tullnerbachstraße",Amt der Niederösterreichischen Landesregierung,"Neukurkersdorf, Gemeindebauhof, Tullnerbachstraße (B44)",16.1434,48.1955,260.0
03:1903,Ozon,1661263200,µg/m³,HMW,56.0,Trasdorf im Tullnerfeld,Amt der Niederösterreichischen Landesregierung,Kaindorfer Straße,15.8578,48.331,192.0
03:0401,Ozon,1661265000,µg/m³,HMW,57.0,Gänserndorf Baumschulweg,Amt der Niederösterreichischen Landesregierung,Baumschulweg,16.729445,48.33472,161.0
